Timestamp;Transactions
2018-01-01 00:00:00;214 763 260
2018-01-01 00:10:00;778 195 385 961
2018-01-01 00:20:00;12 934 871 328
2018-01-01 00:30:00;715 359 282
2018-01-01 00:40:00;586 16 898 1368 785 975 1551
2018-01-01 00:50:00;151 1299 557
2018-01-01 01:00:00;540 1276 1453 1336 128 224 667
2018-01-01 01:10:00;1346 803
2018-01-01 01:20:00;1147 258
2018-01-01 01:30:00;1440 1350 475 1130 308
2018-01-01 01:40:00;497 701
2018-01-01 01:50:00;1222 354 1502 760 1430 248 774
2018-01-01 02:00:00;1234 1505
2018-01-01 02:10:00;27 110 1419 610 1065 843 366 1381
2018-01-01 02:20:00;638 1347 1191
2018-01-01 02:30:00;16 925 1314 1291 216 326 409
2018-01-01 02:40:00;646 157 480 657 540 890 1399 284
2018-01-01 02:50:00;404 128 544 854
2018-01-01 03:00:00;1236 747 1070
2018-01-01 03:10:00;1255 1498 1182 573
2018-01-01 03:20:00;623 279 895 606
2018-01-01 03:30:00;393 942 853 1535
2018-01-01 03:40:00;1358 749
2018-01-01 03:50:00;892 1003 1086
2018-01-01 04:00:00;445 35 851 1520 1483
2018-01-01 04:10:00;668 512 1394 1450 867 1471 75 318
2018-01-01 04:20:00;1358 388 1324
2018-01-01 04:30:00;1108 1551 222 266
2018-01-01 04:40:00;130 933 910 1393 1089 1172
2018-01-01 04:50:00;1156 973 1522 1432 557 68 390
2018-01-01 05:00:00;204 1513
2018-01-01 05:10:00;473 1515
2018-01-01 05:20:00;1111 329 1531 1455 1272
2018-01-01 05:30:00;69 340 356 306
2018-01-01 05:40:00;200 337 753 1063 133
2018-01-01 05:50:00;1275 227 670 1312 942
2018-01-01 06:00:00;622 705 455
2018-01-01 06:10:00;1504 761 1017 1394 678 1267 645 1367
2018-01-01 06:20:00;902 1397 642 619
2018-01-01 06:30:00;536 1351 49
2018-01-01 06:40:00;1366 1543 1426 217 727 756
2018-01-01 06:50:00;833 24 893 257 1339 1210
2018-01-01 07:00:00;398 575 458 808 903 1346
2018-01-01 07:10:00;1132 323 778 556 80 1095 1165
2018-01-01 07:20:00;1548 633 263 546 1255 1099
2018-01-01 07:30:00;127 197 813 110
2018-01-01 07:40:00;917 268 657 634 1117
2018-01-01 07:50:00;199 1254 378 1447 211 388
2018-01-01 08:00:00;1224 149 1403 1487 1237 428 1297
2018-01-01 08:10:00;493 376
2018-01-01 08:20:00;1294 1483
2018-01-01 08:30:00;907 258 1061 624
2018-01-01 08:40:00;541 1356 468 844 1273
2018-01-01 08:50:00;823 147 617 1179 224
2018-01-01 09:00:00;1312 1382
2018-01-01 09:10:00;767
2018-01-01 09:20:00;554 1342 121 1496 487 398 1080
2018-01-01 09:30:00;437 547 631 381 1130 28 1363 887
2018-01-01 09:40:00;778 1061 213 56
2018-01-01 09:50:00;736 432
2018-01-01 10:00:00;349 765 1075 559
2018-01-01 10:10:00;969 1291 1468 1352 143 653 682 1325
2018-01-01 10:20:00;551 967 1277 761 751
2018-01-01 10:30:00;441 884 1526
2018-01-01 10:40:00;1208 1357 908 698 914 265 654
2018-01-01 10:50:00;1291 1108 99 9 692
2018-01-01 11:00:00;1409 1559 696 900 1116 467 856 833
2018-01-01 11:10:00;88 410 587 470
2018-01-01 11:20:00;27
2018-01-01 11:30:00;1423 348 44 127 1436 627 1205
2018-01-01 11:40:00;789 672 1022 1531
2018-01-01 11:50:00;27 1375 33
2018-01-01 12:00:00;536 260 676 986 470
2018-01-01 12:10:00;54 149 592 1235 1279 4 299
2018-01-01 12:20:00;324 461 877 1187 258 661
2018-01-01 12:30:00;1447 598 442 1324 1380 798
2018-01-01 12:40:00;914
2018-01-01 12:50:00;459 1274 1530
2018-01-01 13:00:00;1289 1465 1349 140 650
